report_month,report_year,report_quarter,system,users_total,transactions_total,transaction_value_jod,user_jordanian_count,user_non_jordanian_count,user_male_count,user_female_count,user_age_under_30_count,user_age_31_50_count,user_age_51_plus_count,customer_individual_count,customer_legal_entity_count,wallet_individual_count,wallet_commercial_count,user_existing_count,user_new_count,tx_purchases_count,tx_money_transfers_count,tx_cash_out_count,tx_cash_in_count,value_purchases_jod,value_money_transfers_jod,value_cash_out_jod,value_cash_in_jod,on_us_money_transfer_count,off_us_money_transfer_count,on_us_money_transfer_value_jod,off_us_money_transfer_value_jod,billers_total,services_total,ef_cash_payment_count,ef_digital_payment_count,ef_cash_payment_value_jod,ef_digital_payment_value_jod,ach_jod_transaction_count,ach_usd_transaction_count,ach_usd_transaction_value,ach_eur_transaction_count,ach_eur_transaction_value,ach_gbp_transaction_count,ach_gbp_transaction_value,returned_cheque_count,returned_cheque_value_jod,returned_cheque_count_rate_pct,returned_cheque_value_rate_pct,activity_level
2022-11,2022,Q4,CliQ,523000,985000,175000000,494200,24100,342500,171500,202000,209000,63000,518300,4300,0,0,0,0,84300,900800,0,0,18800000,156500000,0,0,170000,580000,22000000,120000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2022-11,2022,Q4,JoMoPay,2020000,1260000,155000000,1760000,250000,1230000,770000,685000,818000,332000,0,0,2360000,6391,0,0,58000,1053000,87000,61000,2000000,126500000,17800000,8500000,440000,330000,43700000,33100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2022-11,2022,Q4,eFAWATEERcom,3580000,3630000,848000000,0,0,0,0,0,0,0,0,0,0,0,3550000,35000,0,0,0,0,0,0,0,0,0,0,0,0,430,1303,780000,2850000,138400000,709800000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2022-12,2022,Q4,CliQ,561000,1180000,209000000,529800,26300,365000,186200,215000,224000,67000,556100,4900,0,0,0,0,91900,1091000,0,0,21400000,187900000,0,0,210000,690000,26000000,144000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2022-12,2022,Q4,JoMoPay,2050000,1510000,188000000,1780000,250000,1230000,800000,695000,828000,338000,0,0,2400000,6481,0,0,62000,1221000,132000,92000,2100000,148500000,23500000,13800000,530000,430000,52500000,38500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2022-12,2022,Q4,eFAWATEERcom,3620000,3720000,844000000,0,0,0,0,0,0,0,0,0,0,0,3580000,37000,0,0,0,0,0,0,0,0,0,0,0,0,436,1317,800000,2920000,137400000,706900000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-01,2023,Q1,ACH,0,875000,706000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869000,5236,31300000,253,2700000,34,190000,0,0,0,0,Low Activity
2023-01,2023,Q1,CliQ,592000,1310000,235000000,555100,27800,379600,198100,225000,236000,71000,586800,5500,0,0,0,0,95700,1219000,0,0,25500000,209100000,0,0,230000,750000,29000000,157000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-01,2023,Q1,JoMoPay,2050000,1570000,193000000,1780000,250000,1220000,800000,696000,822000,337000,0,0,2410000,6598,0,0,65000,1283000,129000,96000,2200000,153100000,23200000,14600000,540000,460000,50300000,39200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-01,2023,Q1,eFAWATEERcom,3660000,4320000,1054000000,0,0,0,0,0,0,0,0,0,0,0,3620000,38000,0,0,0,0,0,0,0,0,0,0,0,0,442,1334,910000,3410000,169600000,884100000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-02,2023,Q1,ACH,0,819000,639000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814000,4895,27700000,294,3200000,39,390000,0,0,0,0,Low Activity
2023-02,2023,Q1,CliQ,634000,1350000,234000000,553000,29600,370700,206000,219000,237000,75000,628000,6100,0,0,0,0,103300,1248000,0,0,25800000,208600000,0,0,240000,770000,30000000,155000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-02,2023,Q1,JoMoPay,1850000,1410000,175000000,1560000,230000,1020000,750000,595000,735000,302000,0,0,2130000,6695,0,0,43000,1211000,86000,74000,1900000,145100000,16400000,11900000,530000,410000,49900000,35800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-02,2023,Q1,eFAWATEERcom,3700000,3800000,933000000,0,0,0,0,0,0,0,0,0,0,0,3660000,38000,0,0,0,0,0,0,0,0,0,0,0,0,447,1342,830000,2970000,163100000,770200000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-03,2023,Q1,ACH,0,920000,736000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915000,5502,33000000,267,2800000,34,360000,0,0,0,0,Normal Activity
2023-03,2023,Q1,CliQ,678000,1700000,298000000,587800,32200,390000,223000,232000,252000,80000,671000,6700,0,0,0,0,133800,1600000,0,0,33300000,264700000,0,0,300000,960000,39000000,196000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-03,2023,Q1,ECCU,0,389000,2458000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12700,78600000,3.3,3.2,Low Activity
2023-03,2023,Q1,JoMoPay,1850000,1790000,218000000,1550000,230000,1010000,770000,600000,733000,298000,0,0,2140000,6786,0,0,39000,1534000,127000,89000,2300000,178700000,22800000,14000000,660000,530000,57800000,45500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-03,2023,Q1,eFAWATEERcom,3730000,4060000,959000000,0,0,0,0,0,0,0,0,0,0,0,3730000,35000,0,0,0,0,0,0,0,0,0,0,0,0,460,1385,870000,3190000,152200000,806800000,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-04,2023,Q2,ACH,0,893000,673000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888000,5007,27000000,201,1600000,35,420000,0,0,0,0,Low Activity
2023-04,2023,Q2,CliQ,721000,1770000,306000000,627600,34400,414000,239000,247000,269000,88000,713000,7200,0,0,0,0,154700,1600000,0,0,37200000,268800000,0,0,300000,980000,40000000,196000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-04,2023,Q2,ECCU,0,456000,3042000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600,95000000,3.2,3.1,Low Activity
2023-04,2023,Q2,JoMoPay,1880000,1730000,204000000,1580000,230000,1010000,790000,611000,745000,302000,0,0,2180000,6790,0,0,38000,1509000,103000,78000,2400000,170100000,18700000,12700000,630000,530000,52900000,45100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-04,2023,Q2,eFAWATEERcom,3780000,3480000,991000000,0,0,0,0,0,0,0,0,0,0,0,3760000,28000,0,0,0,0,0,0,0,0,0,0,0,0,461,1387,640000,2830000,142100000,848700000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-05,2023,Q2,ACH,0,931000,757000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925000,5716,37000000,387,2900000,47,520000,0,0,0,0,Normal Activity
2023-05,2023,Q2,CliQ,768000,2100000,367000000,671300,37200,439000,259000,263000,287000,94000,758000,9100,0,0,0,0,203700,1900000,0,0,50500000,316500000,0,0,370000,1140000,48000000,230000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-05,2023,Q2,ECCU,0,678000,3770000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23300,130000000,3.4,3.4,High Activity
2023-05,2023,Q2,JoMoPay,1930000,2030000,245000000,1600000,240000,1020000,820000,627000,760000,309900,0,0,2240000,6835,0,0,39000,1773000,125000,94000,2700000,202400000,24200000,15400000,740000,630000,63300000,52100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low Activity
2023-05,2023,Q2,eFAWATEERcom,3800000,4550000,1074000000,0,0,0,0,0,0,0,0,0,0,0,3790000,32000,0,0,0,0,0,0,0,0,0,0,0,0,469,1426,930000,3610000,171200000,902400000,0,0,0,0,0,0,0,0,0,0,0,Normal Activity
2023-06,2023,Q2,ACH,0,890000,702000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886000,4475,27000000,282,3100000,45,410000,0,0,0,0,Low Activity
